language,tongue twister,translation
"Acholi, Acoli or Lwo",Lagwok gwokke; Ogwok gwoke lagwok.," Lagwok (a lady) beware, Ogwok's (a man) dog is evil."
"Acholi, Acoli or Lwo",Kidi ki kidi; lagweng ki lagweng.," A boulder should face a boulder, a stone a stone."
Afrikaans,Wie weet waar Willie Wouter woon? Willie Wouter woon waar die weste winde waai!, Who knows were Willie Wouter lives. Willie Wouter lives were the west winds blow!
Afrikaans,"Die duiwel druk die domme donkie dwarsdeur die driedubbele doringdraad, dat die domme donkie dwarsdeur die driedubbele doringdraad dwars draai."," The devil pushes the dumb donkey through the three tripple barbed wire, so that the dumb donkey turns through the tripple barbed wire."
Afrikaans,"Die dikke dokter Daan Diederichs drink Dinsdag die derde Desember drie drinkbekers dronkmakende drank; daarna dreig die drankduiwel die dokter, dog die dokter druk die drankduiwel daar doer dwarsdeur die driedubbele doringdraad duskant die damwal."," The fat doctor Daan Diederichs on Tuesday, the third of December, drinks three mugs of intoxicating drinks; thereafter the doctor is threatened by the drink-devil, but the doctor pushes the drink-devil way through the three-times tripple barbed-wire in front of the damwall."
Afrikaans,"My liewe neef Louw, my neus jeuk nou.Jeuk my liewe neef Louw se neus ook nou?"," My dear cousin Louw (pronounced ""low"") my nose is itching now. Does, my dear cousin Louw, your nose also itch?"
Afrikaans,Wie weet waar Willem Wouter woon? Willem Wouter woon waar warm water wyn word., Who knows where William Wouter lives? William Wouter lives where warm water becomes wine. Who knows where warm water becomes wine? Warm water becomes wine where west winds blow. Who knows where west winds blow? West winds blow where Wies washes clothes.
Afrikaans,Waatlemoenkonfytkompetisie, Watermelon Jam Competition
Afrikaans,Wat was was voor was was was?, What was wax before it was wax?
Afrikaans,Drie rooi ribbokke spring oor die doring draad., Three red ribbucks jumps over the barb wire.
Afrikaans,"Sannie sê sy sal sewe sakke sout sleep, sewe sakke sout is swaar sowaar."," Sannie says she will drag seven bags of salt, seven bags of salt is heavy indeed."
Afrikaans,Die kreef kleef aan die krap en die krap kleef aan die kreef., The lobster sticks to the crab and the crab sticks to the lobster.
Afrikaans,Die Koppokkie pik op die kappokkopietjie se koppietjie., The bantam (small type of chicken) picks on the baby bantams head.
